Commodity,Model,N,MAE,RMSE,Directional_Accuracy
Brent,Naive (Zero Return),197,0.06273483151720935,0.08716046441417738,
Brent,ElasticNet Baseline,197,0.06237327202830993,0.08465910112064644,0.5532994923857868
Natural_Gas,Naive (Zero Return),197,0.09285955525003409,0.12169865679267224,
Natural_Gas,ElasticNet Baseline,197,0.09336798870446854,0.12223618807470858,0.49746192893401014
Gold,Naive (Zero Return),198,0.02844277737708219,0.03626536492227208,
Gold,ElasticNet Baseline,198,0.028557433724096668,0.035783987704465746,0.5384615384615384
Copper,Naive (Zero Return),197,0.036523815851375374,0.047263492533641815,
Copper,ElasticNet Baseline,197,0.03592261042994461,0.0462830543042847,0.5482233502538071
Wheat,Naive (Zero Return),197,0.05278998830585039,0.07018491940346994,
Wheat,ElasticNet Baseline,197,0.053023103805283245,0.07025623221713098,0.5583756345177665
