Commodity,Horizon,N,Mean,Median,Min,Max
Brent,+1M,4,-0.10268335517604996,-0.1130199605585279,-0.1859500446780907,0.0012565450909467
Brent,+2M,4,-0.09821423926257004,-0.07526352588505675,-0.2605389733539285,0.0182090680737618
Brent,+3M,4,-0.06898172908179133,-0.02284609394192915,-0.2769505526404547,0.0467158241971477
Natural_Gas,+1M,4,0.10026123556576386,0.07830940261624934,-0.1123127453336536,0.3567388823642103
Natural_Gas,+2M,4,0.1761214304507734,0.042547678602123995,-0.0220299607466154,0.6414203253454609
Natural_Gas,+3M,4,0.15848590136422783,0.065203952175048,-0.0193863654570215,0.5229220665638368
Gold,+1M,4,-0.018053274544085025,-0.017044965510457498,-0.0381231671554251,0.0
Gold,+2M,4,-0.016686927123034125,-0.029957311525359097,-0.0508213552361396,0.0439882697947213
Gold,+3M,4,-0.020098225675825875,-0.033699826495419,-0.0569815195071868,0.0439882697947213
Copper,+1M,4,-0.01955014298534245,-0.02038673815261035,-0.0409649391493418,0.0035378435131927
Copper,+2M,4,-0.010900126146171075,0.0009229585345884499,-0.0817002548770985,0.0362538332232373
Copper,+3M,4,-0.00964720186514605,0.021747902043866098,-0.1137087438057099,0.0316241322573935
Wheat,+1M,4,0.010364871007783499,0.009417210413081351,-0.0247402443564486,0.0473653075614199
Wheat,+2M,4,0.05986682166201253,0.03988347761625195,0.0139777303956407,0.1457226010199055
Wheat,+3M,4,-0.024779737299773827,-0.0195430797735273,-0.0857955122347446,0.0257627225827039
