Commodity,Feature,Feature_Group,Raw_Value,Standardized_Value,Coefficient,Contribution
Brent,Brent_return_1m,COMMODITY_HISTORY,-0.0234192037470726,-0.30979993470260425,0.029463448974726747,-0.009127774568483859
Brent,Brent_return_3m,COMMODITY_HISTORY,-0.3073089700996677,-1.7156258853860036,-0.0019140690625491252,0.003283826430125801
Brent,Brent_return_6m,COMMODITY_HISTORY,0.2485029940119762,0.7679591081047689,-0.004053638590021782,-0.0031130286761722006
Brent,Brent_vol_3m,COMMODITY_HISTORY,0.0911800965043225,0.4560565531727554,0.0,0.0
Brent,GPR,GEOPOLITICAL,152.66822814941406,1.3658730396885534,-0.0,-0.0
Brent,GPR_change,GEOPOLITICAL,-27.054214477539062,-0.9803587030694766,0.0,-0.0
Brent,GPR_lag1,GEOPOLITICAL,179.72244262695312,2.149533952100054,-0.0,-0.0
Brent,GPR_lag3,GEOPOLITICAL,252.3643341064453,4.462224083963712,-0.0,-0.0
Brent,GPRT,GEOPOLITICAL,175.02061462402344,1.3972961145677398,-0.0,-0.0
Brent,GPRA,GEOPOLITICAL,168.84104919433594,1.6140383932483315,-0.005684374284948076,-0.009174798337499726
Brent,DXY,MACRO_CONTROL,100.95954617587005,1.057103292606006,-0.0,-0.0
Natural_Gas,Natural_Gas_return_1m,COMMODITY_HISTORY,-0.0825396825396824,-0.544416754876157,-0.002041337963261717,0.001111338589564448
Natural_Gas,Natural_Gas_return_3m,COMMODITY_HISTORY,0.0433212996389891,0.08777713953121029,-0.0,-0.0
Natural_Gas,Natural_Gas_return_6m,COMMODITY_HISTORY,-0.6187335092348285,-1.7817318120692518,-0.0030722345399486887,0.005473898013964521
Natural_Gas,Natural_Gas_vol_3m,COMMODITY_HISTORY,0.0864390312484366,-0.3705552623776422,-0.017556001784468745,0.006505468847546171
Natural_Gas,GPR,GEOPOLITICAL,152.66822814941406,1.3658730396885534,0.0,0.0
Natural_Gas,GPR_change,GEOPOLITICAL,-27.054214477539062,-0.9803587030694766,0.0,-0.0
Natural_Gas,GPR_lag1,GEOPOLITICAL,179.72244262695312,2.149533952100054,-0.0,-0.0
Natural_Gas,GPR_lag3,GEOPOLITICAL,252.3643341064453,4.462224083963712,-0.0017557340081749402,-0.00783447857631236
Natural_Gas,GPRT,GEOPOLITICAL,175.02061462402344,1.3972961145677398,0.007383703084330717,0.010317219630857147
Natural_Gas,GPRA,GEOPOLITICAL,168.84104919433594,1.6140383932483315,-0.0,-0.0
Natural_Gas,DXY,MACRO_CONTROL,100.95954617587005,1.057103292606006,0.0,0.0
Gold,Gold_return_1m,COMMODITY_HISTORY,-0.0366603595080415,-1.1706050796241392,0.0030038111330992186,-0.0035162765706374865
Gold,Gold_return_3m,COMMODITY_HISTORY,-0.1372590552848972,-2.1485263654385274,0.0,-0.0
Gold,Gold_return_6m,COMMODITY_HISTORY,-0.1430675362928676,-1.723506191666806,0.0,-0.0
Gold,Gold_vol_3m,COMMODITY_HISTORY,0.0267317466002465,-0.23735214023853551,0.0,-0.0
Gold,GPR,GEOPOLITICAL,152.66822814941406,1.3658730396885534,-0.0,-0.0
Gold,GPR_change,GEOPOLITICAL,-27.054214477539062,-0.9803587030694766,0.0,-0.0
Gold,GPR_lag1,GEOPOLITICAL,179.72244262695312,2.149533952100054,-0.0,-0.0
Gold,GPR_lag3,GEOPOLITICAL,252.3643341064453,4.462224083963712,0.0,0.0
Gold,GPRT,GEOPOLITICAL,175.02061462402344,1.3972961145677398,-0.0,-0.0
Gold,GPRA,GEOPOLITICAL,168.84104919433594,1.6140383932483315,-0.0,-0.0
Gold,DXY,MACRO_CONTROL,100.95954617587005,1.057103292606006,0.0,0.0
Copper,Copper_return_1m,COMMODITY_HISTORY,-0.000664108618654,-0.11141009768621456,0.019005514910541425,-0.0021174062727602272
Copper,Copper_return_3m,COMMODITY_HISTORY,0.0457107559261833,0.1565289570763434,0.0,0.0
Copper,Copper_return_6m,COMMODITY_HISTORY,0.0408084844758684,-0.05260375903329606,-0.0,0.0
Copper,Copper_vol_3m,COMMODITY_HISTORY,0.0263993499535419,-0.6052181196113614,0.0,-0.0
Copper,GPR,GEOPOLITICAL,152.66822814941406,1.3658730396885534,-0.0,-0.0
Copper,GPR_change,GEOPOLITICAL,-27.054214477539062,-0.9803587030694766,0.0,-0.0
Copper,GPR_lag1,GEOPOLITICAL,179.72244262695312,2.149533952100054,-0.0,-0.0
Copper,GPR_lag3,GEOPOLITICAL,252.3643341064453,4.462224083963712,-0.0,-0.0
Copper,GPRT,GEOPOLITICAL,175.02061462402344,1.3972961145677398,-0.0,-0.0
Copper,GPRA,GEOPOLITICAL,168.84104919433594,1.6140383932483315,0.0,0.0
Copper,DXY,MACRO_CONTROL,100.95954617587005,1.057103292606006,0.0,0.0
Wheat,Wheat_return_1m,COMMODITY_HISTORY,0.0867368421052632,1.056302895421354,0.008707770184496186,0.00919804285854706
Wheat,Wheat_return_3m,COMMODITY_HISTORY,0.0470588235294118,0.19410830761530495,-0.0,-0.0
Wheat,Wheat_return_6m,COMMODITY_HISTORY,0.1855764813964173,0.7026180445189258,-0.0,-0.0
Wheat,Wheat_vol_3m,COMMODITY_HISTORY,0.0908150518956257,0.7440316496589269,-0.0009444733754938631,-0.0007027180836276341
Wheat,GPR,GEOPOLITICAL,152.66822814941406,1.3658730396885534,0.0,0.0
Wheat,GPR_change,GEOPOLITICAL,-27.054214477539062,-0.9803587030694766,0.0,-0.0
Wheat,GPR_lag1,GEOPOLITICAL,179.72244262695312,2.149533952100054,-0.0,-0.0
Wheat,GPR_lag3,GEOPOLITICAL,252.3643341064453,4.462224083963712,-0.002184838661456031,-0.009749239694724143
Wheat,GPRT,GEOPOLITICAL,175.02061462402344,1.3972961145677398,0.0,0.0
Wheat,GPRA,GEOPOLITICAL,168.84104919433594,1.6140383932483315,0.0,0.0
Wheat,DXY,MACRO_CONTROL,100.95954617587005,1.057103292606006,0.0,0.0
