Regime,Commodity,Horizon,N,Mean,Median,Min,Max
EXTREME,Brent,+1M,16,-0.018952546686236325,-0.03019419124545819,-0.1701497955897906,0.1482199385866947
EXTREME,Brent,+3M,16,-0.005639736797982922,-0.039780044429457984,-0.251309398099261,0.5916879534435326
EXTREME,Natural_Gas,+1M,16,0.0031672295174230702,-0.07318435551554442,-0.3407916466890418,0.35673888236421036
EXTREME,Natural_Gas,+3M,16,0.050695347297684275,0.009532779611099274,-0.35270892739635895,0.7900360433019784
EXTREME,Gold,+1M,16,0.0024368823721506658,-0.004642593946453388,-0.05529225908372826,0.07877975192758968
EXTREME,Gold,+3M,16,0.047345443423339156,0.05278745431280951,-0.12932454695222406,0.1712666338097586
EXTREME,Copper,+1M,16,0.0023363584331748677,-0.004121129464820628,-0.06782240151836305,0.07109874379010206
EXTREME,Copper,+3M,16,0.03283049970060365,0.01700193769415448,-0.11370874380570994,0.20919047079696695
EXTREME,Wheat,+1M,16,0.01121899644673665,0.004787838576652381,-0.04577587023142138,0.09141439643495497
EXTREME,Wheat,+3M,16,0.003361715501401734,0.011164183937823702,-0.12072102398871476,0.19728732958583706
