Commodity,Model,N,MAE,RMSE,Directional_Accuracy
Brent,ElasticNet Baseline,197,0.0634146781469259,0.0871491756457711,0.5380710659898477
Natural_Gas,ElasticNet Baseline,197,0.0930163931880252,0.12188933187194,0.5279187817258884
Gold,ElasticNet Baseline,198,0.0285424990810093,0.0358195982681319,0.5384615384615384
Copper,ElasticNet Baseline,197,0.0358143117903048,0.0462907128788973,0.5583756345177665
Wheat,ElasticNet Baseline,197,0.0527204047057063,0.0701516491874436,0.5634517766497462
Brent,GeoPrice Model,197,0.0628510882572518,0.0868383612066851,0.5583756345177665
Natural_Gas,GeoPrice Model,197,0.0930649945383407,0.1220992129768443,0.5126903553299492
Gold,GeoPrice Model,198,0.0285202421321124,0.0357559641242978,0.5384615384615384
Copper,GeoPrice Model,197,0.0365705034901713,0.0469424050939741,0.5380710659898477
Wheat,GeoPrice Model,197,0.0537140622851455,0.0704171570541843,0.4923857868020304
