Commodity,Model,N,MAE,RMSE,Directional_Accuracy,Feature_Set
Brent,Baseline,197,0.06237327202830993,0.08465910112064644,0.5532994923857868,Baseline
Brent,GPR_only,197,0.0626277540115617,0.08485936329946311,0.5532994923857868,GPR_only
Brent,GeoPrice,197,0.06298217295569916,0.08531782435077181,0.5431472081218274,GeoPrice
Natural_Gas,Baseline,197,0.09336798870446854,0.12223618807470858,0.49746192893401014,Baseline
Natural_Gas,GPR_only,197,0.09369206266715935,0.12307822915998448,0.4873096446700508,GPR_only
Natural_Gas,GeoPrice,197,0.09630880350164815,0.1262707192123398,0.5025380710659898,GeoPrice
Gold,Baseline,198,0.028557433724096668,0.035783987704465746,0.5384615384615384,Baseline
Gold,GPR_only,198,0.028557433724096668,0.035783987704465746,0.5384615384615384,GPR_only
Gold,GeoPrice,198,0.02838335903437914,0.035736924685057285,0.5384615384615384,GeoPrice
Copper,Baseline,197,0.03592261042994461,0.0462830543042847,0.5482233502538071,Baseline
Copper,GPR_only,197,0.03592261042994461,0.0462830543042847,0.5482233502538071,GPR_only
Copper,GeoPrice,197,0.0367298184346468,0.04736661665002318,0.5532994923857868,GeoPrice
Wheat,Baseline,197,0.053023103805283245,0.07025623221713098,0.5583756345177665,Baseline
Wheat,GPR_only,197,0.053040592457040035,0.07028720019563608,0.5583756345177665,GPR_only
Wheat,GeoPrice,197,0.05300049428455894,0.07025429247415134,0.5634517766497462,GeoPrice
