Commodity,Feature,Feature_Group,Coefficient,Absolute_Coefficient,Is_Zero
Brent,Brent_return_1m,COMMODITY_HISTORY,0.029463448974726747,0.029463448974726747,False
Brent,Brent_return_3m,COMMODITY_HISTORY,-0.0019140690625491252,0.0019140690625491252,False
Brent,Brent_return_6m,COMMODITY_HISTORY,-0.004053638590021782,0.004053638590021782,False
Brent,Brent_vol_3m,COMMODITY_HISTORY,0.0,0.0,True
Brent,GPR,GEOPOLITICAL,-0.0,0.0,True
Brent,GPR_change,GEOPOLITICAL,0.0,0.0,True
Brent,GPR_lag1,GEOPOLITICAL,-0.0,0.0,True
Brent,GPR_lag3,GEOPOLITICAL,-0.0,0.0,True
Brent,GPRT,GEOPOLITICAL,-0.0,0.0,True
Brent,GPRA,GEOPOLITICAL,-0.005684374284948076,0.005684374284948076,False
Brent,DXY,MACRO_CONTROL,-0.0,0.0,True
Natural_Gas,Natural_Gas_return_1m,COMMODITY_HISTORY,-0.002041337963261717,0.002041337963261717,False
Natural_Gas,Natural_Gas_return_3m,COMMODITY_HISTORY,-0.0,0.0,True
Natural_Gas,Natural_Gas_return_6m,COMMODITY_HISTORY,-0.0030722345399486887,0.0030722345399486887,False
Natural_Gas,Natural_Gas_vol_3m,COMMODITY_HISTORY,-0.017556001784468745,0.017556001784468745,False
Natural_Gas,GPR,GEOPOLITICAL,0.0,0.0,True
Natural_Gas,GPR_change,GEOPOLITICAL,0.0,0.0,True
Natural_Gas,GPR_lag1,GEOPOLITICAL,-0.0,0.0,True
Natural_Gas,GPR_lag3,GEOPOLITICAL,-0.0017557340081749402,0.0017557340081749402,False
Natural_Gas,GPRT,GEOPOLITICAL,0.007383703084330717,0.007383703084330717,False
Natural_Gas,GPRA,GEOPOLITICAL,-0.0,0.0,True
Natural_Gas,DXY,MACRO_CONTROL,0.0,0.0,True
Gold,Gold_return_1m,COMMODITY_HISTORY,0.0030038111330992186,0.0030038111330992186,False
Gold,Gold_return_3m,COMMODITY_HISTORY,0.0,0.0,True
Gold,Gold_return_6m,COMMODITY_HISTORY,0.0,0.0,True
Gold,Gold_vol_3m,COMMODITY_HISTORY,0.0,0.0,True
Gold,GPR,GEOPOLITICAL,-0.0,0.0,True
Gold,GPR_change,GEOPOLITICAL,0.0,0.0,True
Gold,GPR_lag1,GEOPOLITICAL,-0.0,0.0,True
Gold,GPR_lag3,GEOPOLITICAL,0.0,0.0,True
Gold,GPRT,GEOPOLITICAL,-0.0,0.0,True
Gold,GPRA,GEOPOLITICAL,-0.0,0.0,True
Gold,DXY,MACRO_CONTROL,0.0,0.0,True
Copper,Copper_return_1m,COMMODITY_HISTORY,0.019005514910541425,0.019005514910541425,False
Copper,Copper_return_3m,COMMODITY_HISTORY,0.0,0.0,True
Copper,Copper_return_6m,COMMODITY_HISTORY,-0.0,0.0,True
Copper,Copper_vol_3m,COMMODITY_HISTORY,0.0,0.0,True
Copper,GPR,GEOPOLITICAL,-0.0,0.0,True
Copper,GPR_change,GEOPOLITICAL,0.0,0.0,True
Copper,GPR_lag1,GEOPOLITICAL,-0.0,0.0,True
Copper,GPR_lag3,GEOPOLITICAL,-0.0,0.0,True
Copper,GPRT,GEOPOLITICAL,-0.0,0.0,True
Copper,GPRA,GEOPOLITICAL,0.0,0.0,True
Copper,DXY,MACRO_CONTROL,0.0,0.0,True
Wheat,Wheat_return_1m,COMMODITY_HISTORY,0.008707770184496186,0.008707770184496186,False
Wheat,Wheat_return_3m,COMMODITY_HISTORY,-0.0,0.0,True
Wheat,Wheat_return_6m,COMMODITY_HISTORY,-0.0,0.0,True
Wheat,Wheat_vol_3m,COMMODITY_HISTORY,-0.0009444733754938631,0.0009444733754938631,False
Wheat,GPR,GEOPOLITICAL,0.0,0.0,True
Wheat,GPR_change,GEOPOLITICAL,0.0,0.0,True
Wheat,GPR_lag1,GEOPOLITICAL,-0.0,0.0,True
Wheat,GPR_lag3,GEOPOLITICAL,-0.002184838661456031,0.002184838661456031,False
Wheat,GPRT,GEOPOLITICAL,0.0,0.0,True
Wheat,GPRA,GEOPOLITICAL,0.0,0.0,True
Wheat,DXY,MACRO_CONTROL,0.0,0.0,True
