Commodity,Subgroup,N,Baseline_MAE,GeoPrice_MAE,MAE_Diff
Brent,HIGH_and_EXTREME_Regimes,57,0.06448901504464875,0.06557333682594942,-0.0010843217813006623
Brent,LOW_and_MODERATE_Regimes,140,0.06151186237165765,0.06192719909424008,-0.00041533672258243365
Brent,Excluding_EXTREME_Regime,179,0.06087136854602372,0.06138569963733417,-0.0005143310913104521
Natural_Gas,HIGH_and_EXTREME_Regimes,57,0.10504117514356753,0.10913901043716075,-0.004097835293593213
Natural_Gas,LOW_and_MODERATE_Regimes,140,0.08861533422569247,0.09108507639218939,-0.0024697421664969244
Natural_Gas,Excluding_EXTREME_Regime,179,0.08591329093761996,0.08829927201752377,-0.002385981079903815
Gold,HIGH_and_EXTREME_Regimes,58,0.0318394416115455,0.03173031905746469,0.00010912255408080523
Gold,LOW_and_MODERATE_Regimes,140,0.02719774474215352,0.026996761310529353,0.0002009834316241653
Gold,Excluding_EXTREME_Regime,179,0.028319371037169905,0.028131273516126473,0.00018809752104343228
Copper,HIGH_and_EXTREME_Regimes,57,0.03440865290219468,0.03627431057478221,-0.001865657672587534
Copper,LOW_and_MODERATE_Regimes,140,0.036539007423385596,0.03691527520616304,-0.0003762677827774466
Copper,Excluding_EXTREME_Regime,179,0.036459560203201055,0.037271699941180673,-0.0008121397379796183
Wheat,HIGH_and_EXTREME_Regimes,57,0.0528614820634901,0.053394400373840245,-0.0005329183103501417
Wheat,LOW_and_MODERATE_Regimes,140,0.053088906943013256,0.05284011823392292,0.00024878870909033485
Wheat,Excluding_EXTREME_Regime,179,0.0528386369746834,0.05294559604056208,-0.0001069590658786812
