episode_id,representative_shock_date,episode_start,episode_end,representative_level,representative_change,raw_shock_count,cluster_dates
1,1986-04,1986-01,1986-04,142.49339294433594,57.363929748535156,2,"1986-01, 1986-04"
2,1990-08,1990-08,1990-08,353.7631225585937,271.3938674926757,1,1990-08
3,1991-01,1991-01,1991-01,360.0328063964844,165.38427734374997,1,1991-01
4,1993-01,1993-01,1993-01,144.89353942871094,47.59950256347656,1,1993-01
5,1994-02,1994-02,1994-02,148.14723205566406,55.055397033691406,1,1994-02
6,1998-05,1998-05,1998-05,129.79888916015625,71.0315055847168,1,1998-05
7,2001-09,2001-09,2001-09,260.16961669921875,204.93754196166992,1,2001-09
8,2002-09,2002-09,2002-09,174.5314483642578,72.83570861816405,1,2002-09
9,2003-03,2003-01,2003-03,362.41107177734375,65.65127563476562,3,"2003-01, 2003-02, 2003-03"
10,2005-07,2005-07,2005-07,118.1835708618164,48.30107116699219,1,2005-07
11,2014-03,2014-03,2014-03,151.67477416992188,78.3961181640625,1,2014-03
12,2014-07,2014-07,2014-07,162.71510314941406,67.39213562011719,1,2014-07
13,2018-03,2018-03,2018-03,146.9270782470703,72.24396514892578,1,2018-03
14,2020-01,2020-01,2020-01,190.8443603515625,110.73358917236328,1,2020-01
15,2022-02,2022-02,2022-03,320.6058654785156,121.11834716796875,2,"2022-02, 2022-03"
16,2023-10,2023-10,2023-10,205.04005432128903,79.38825988769527,1,2023-10
17,2024-04,2024-04,2024-04,170.697998046875,49.158317565917955,1,2024-04
18,2025-06,2025-03,2025-06,286.4390869140625,81.25326538085938,2,"2025-03, 2025-06"
19,2026-03,2026-01,2026-03,319.2039794921875,163.19796752929688,2,"2026-01, 2026-03"
