Regime,Commodity,Horizon,N,Mean,Median,Min,Max
LOW,Brent,+1M,55,0.0008431015081489105,0.004255319148936287,-0.2279293739967897,0.22399999999999998
LOW,Brent,+3M,55,0.020665409772359037,0.03645833333333326,-0.4992412746585736,0.6227544910179643
LOW,Natural_Gas,+1M,55,0.005742313823931778,-0.012195121951219412,-0.22855029585798814,0.289940828402367
LOW,Natural_Gas,+3M,55,0.02786659490243561,-0.02155172413793094,-0.3594674556213018,1.0760869565217388
LOW,Gold,+1M,55,0.008912527494332096,0.003424657534246478,-0.06298533218291635,0.09694793536804314
LOW,Gold,+3M,55,0.024603756085461063,0.020361990950226172,-0.11004784688995217,0.21203007518797
LOW,Copper,+1M,55,0.0030057144125377713,0.0010253405595430642,-0.15056179775280898,0.2518126592200667
LOW,Copper,+3M,55,0.018106548024385664,0.016107966913365246,-0.18888386805241753,0.4105428179502253
LOW,Wheat,+1M,55,-0.002031293245095952,-0.012542759407069615,-0.1464646464646464,0.2721543914927136
LOW,Wheat,+3M,55,0.007849001749092251,-0.00974421437271622,-0.20490620490620481,0.4043141592920354
MODERATE,Brent,+1M,71,0.015536145353755762,0.019067796610169552,-0.21022727272727282,0.20374220374220364
MODERATE,Brent,+3M,71,0.030226994731917284,0.01872659176029967,-0.20127118644067798,0.5558546433378195
MODERATE,Natural_Gas,+1M,71,0.014980554358338997,0.006756756756756799,-0.4054545454545454,0.3581081081081079
MODERATE,Natural_Gas,+3M,71,0.02215253268019123,-0.03308823529411775,-0.5818181818181818,0.8141891891891893
MODERATE,Gold,+1M,71,0.010214683572423623,0.0031645569620253333,-0.0633245382585752,0.10875331564986745
MODERATE,Gold,+3M,71,0.03227260506348395,0.023558082859463925,-0.135752688172043,0.22828480548079266
MODERATE,Copper,+1M,71,0.008725971756170238,0.010030601836110264,-0.12999500499500505,0.13861386138613851
MODERATE,Copper,+3M,71,0.0420308424142184,0.023962981325400756,-0.244,0.6150140505820956
MODERATE,Wheat,+1M,71,0.0027933518920007544,-0.0005027652086475598,-0.1442021803766106,0.2174151150054766
MODERATE,Wheat,+3M,71,0.027284847017937222,-0.005303760848601735,-0.3141411708022164,0.5131434830230013
HIGH,Brent,+1M,45,0.009673053339222566,0.007317073170731714,-0.3178294573643411,0.45850914205344595
HIGH,Brent,+3M,45,0.0028754489909975918,-0.014545454545454528,-0.6336477987421383,0.6539074960127591
HIGH,Natural_Gas,+1M,45,0.045007844389968604,0.006802721088435382,-0.18450184501845024,0.7835294117647058
HIGH,Natural_Gas,+3M,45,0.002572122607673376,-0.018867924528301883,-0.41814946619217086,0.5108225108225108
HIGH,Gold,+1M,45,0.014191390339735883,0.006833712984054774,-0.03316326530612246,0.10304014852634014
HIGH,Gold,+3M,45,0.033078900942517676,0.0372492836676217,-0.08625498007968124,0.21347980997624694
HIGH,Copper,+1M,45,0.012630641591660703,0.01037882719252714,-0.05758017492711365,0.10411540093339
HIGH,Copper,+3M,45,0.03264103746731931,0.030215827338129442,-0.16133311225335767,0.5842076200993926
HIGH,Wheat,+1M,45,-0.00035827534906669457,0.0013026487190619385,-0.16442953020134232,0.16679477325134529
HIGH,Wheat,+3M,45,0.02198685627551804,0.005738132498696036,-0.1872037914691942,0.37456567060458656
EXTREME,Brent,+1M,21,-0.003461089994352996,-0.01700154559505407,-0.18143459915611815,0.2583025830258303
EXTREME,Brent,+3M,21,-0.003399726847650029,-0.04878048780487809,-0.2522522522522521,0.8023952095808384
EXTREME,Natural_Gas,+1M,21,-0.030889271241282896,-0.06666666666666676,-0.5237467018469657,0.33811475409836067
EXTREME,Natural_Gas,+3M,21,0.09148839129049773,-0.01655629139072845,-0.6345646437994723,1.36875
EXTREME,Gold,+1M,21,-5.1305821378286984e-06,-0.003877124962719969,-0.05529225908372826,0.07877975192758968
EXTREME,Gold,+3M,21,0.03269644629007161,0.0235294117647058,-0.12932454695222406,0.1712666338097586
EXTREME,Copper,+1M,21,0.00506930323266574,0.0,-0.0729060698541879,0.0713229078613693
EXTREME,Copper,+3M,21,0.010328724840273548,0.009391588403429907,-0.12546499830909708,0.21154562383612663
EXTREME,Wheat,+1M,21,-0.0015897324686593968,-0.006535947712418166,-0.14674302075876866,0.1246630727762803
EXTREME,Wheat,+3M,21,-0.011026503663272826,-0.039508340649692664,-0.2834645669291338,0.29986522911051217
