Regime,Commodity,Horizon,N,Mean,Median,Min,Max
LOW,Brent,+1M,47,0.0018975103474357,0.0084412968513327,-0.2220963776234409,0.2029994233058072
LOW,Brent,+3M,47,0.0039029024564238,0.0214708081272791,-0.4805169511567406,0.3003422531620314
LOW,Natural_Gas,+1M,47,0.009294701310871,0.0142861922446382,-0.2555305586801648,0.2640063127043175
LOW,Natural_Gas,+3M,47,0.0494663646613186,0.0333534257584888,-0.3922493723610634,1.082576946700334
LOW,Gold,+1M,47,0.0109364821725843,0.0035335689045936,-0.1074468085106382,0.1047463175122749
LOW,Gold,+3M,47,0.0180742510365454,0.0106007067137809,-0.1414893617021276,0.21203007518797
LOW,Copper,+1M,47,0.0112138404097231,0.0008923015708401,-0.1484263854328885,0.258374640626549
LOW,Copper,+3M,47,0.0109056932632486,0.0160659543978667,-0.4177615502569023,0.3452963310034933
LOW,Wheat,+1M,47,0.0059857810495941,-0.0030923526953612,-0.1466851417608182,0.2379250595624871
LOW,Wheat,+3M,47,0.0133179480125359,0.0032896858672508,-0.3227911646586342,0.388742378531193
MODERATE,Brent,+1M,60,0.0154999514354121,0.0172751505648718,-0.1801710227211569,0.1904805253917678
MODERATE,Brent,+3M,60,0.0315116181086002,0.0311541009262484,-0.2579573955070452,0.5056590591523054
MODERATE,Natural_Gas,+1M,60,0.0097148150755976,0.0025204308208259,-0.3959503282448786,0.3391948507560054
MODERATE,Natural_Gas,+3M,60,0.0243255467780661,-0.0317620099768087,-0.5807888193845021,0.7894492686391905
MODERATE,Gold,+1M,60,0.01051002526866,0.0045278079589281,-0.0633245382585752,0.1083437110834371
MODERATE,Gold,+3M,60,0.0349817900565823,0.024228840626519,-0.135752688172043,0.2282848054807926
MODERATE,Copper,+1M,60,0.0109964225539269,0.0092824379723691,-0.1325532837064303,0.1019309607775578
MODERATE,Copper,+3M,60,0.0468675742883734,0.0254395876426842,-0.2411590670716551,0.6199459245906713
MODERATE,Wheat,+1M,60,-0.0008032239508271,-0.0035520377345689,-0.2032951945080093,0.2246847250205204
MODERATE,Wheat,+3M,60,0.0257904922276811,0.0004813888178371,-0.2359899749373438,0.6113387060667117
HIGH,Brent,+1M,34,0.0183052322742853,0.003550850404945,-0.1284485632829137,0.4321526592181186
HIGH,Brent,+3M,34,0.0225492921799854,-0.0144239348405611,-0.5798249699839854,0.6082112601482528
HIGH,Natural_Gas,+1M,34,0.0223491001483073,0.0299691420870805,-0.2232566630156991,0.3156770721252397
HIGH,Natural_Gas,+3M,34,0.021442954862886,-0.0080162666210575,-0.4303458907272302,0.613777596075225
HIGH,Gold,+1M,34,0.015442217104508,0.0060346575391477,-0.0331632653061224,0.1030401485263401
HIGH,Gold,+3M,34,0.0358018907778184,0.0411854103343465,-0.0862549800796812,0.2134798099762469
HIGH,Copper,+1M,34,0.0100096445641938,0.0099036614884071,-0.0569469712842141,0.1014033049421783
HIGH,Copper,+3M,34,0.019846816040668,0.041687321265695,-0.1613668298079836,0.1772642555069616
HIGH,Wheat,+1M,34,0.0053585083386139,-0.0092713398443228,-0.0976328553856327,0.1586025792321821
HIGH,Wheat,+3M,34,0.0123568132652304,-0.0067390268954312,-0.2282905873065417,0.2639851356405986
EXTREME,Brent,+1M,16,-0.0189525466862363,-0.0301941912454581,-0.1701497955897906,0.1482199385866947
EXTREME,Brent,+3M,16,-0.0056397367979829,-0.0397800444294579,-0.251309398099261,0.5916879534435326
EXTREME,Natural_Gas,+1M,16,0.003167229517423,-0.0731843555155444,-0.3407916466890418,0.3567388823642103
EXTREME,Natural_Gas,+3M,16,0.0506953472976842,0.0095327796110992,-0.3527089273963589,0.7900360433019784
EXTREME,Gold,+1M,16,0.0024368823721506,-0.0046425939464533,-0.0552922590837282,0.0787797519275896
EXTREME,Gold,+3M,16,0.0473454434233391,0.0527874543128095,-0.129324546952224,0.1712666338097586
EXTREME,Copper,+1M,16,0.0023363584331748,-0.0041211294648206,-0.067822401518363,0.071098743790102
EXTREME,Copper,+3M,16,0.0328304997006036,0.0170019376941544,-0.1137087438057099,0.2091904707969669
EXTREME,Wheat,+1M,16,0.0112189964467366,0.0047878385766523,-0.0457758702314213,0.0914143964349549
EXTREME,Wheat,+3M,16,0.0033617155014017,0.0111641839378237,-0.1207210239887147,0.197287329585837
