episode_id,representative_shock_date,episode_start,episode_end,representative_GPR,representative_GPR_change,raw_shock_count,cluster_dates
1,1993-01,1993-01,1993-01,128.91807556152344,45.497108459472656,1,1993-01
2,1998-05,1998-05,1998-08,94.4734878540039,43.476905822753906,2,"1998-05, 1998-08"
3,2001-09,2001-09,2001-09,498.64788818359375,434.54015350341797,1,2001-09
4,2002-09,2002-09,2002-09,174.90333557128906,47.83882141113283,1,2002-09
5,2003-03,2003-03,2003-03,358.711181640625,119.1002502441406,1,2003-03
6,2005-07,2005-07,2005-07,165.90191650390625,84.77786254882812,1,2005-07
7,2011-03,2011-03,2011-03,136.8883056640625,46.873817443847656,1,2011-03
8,2014-03,2014-03,2014-03,119.83855438232422,50.83502960205078,1,2014-03
9,2014-07,2014-07,2014-07,138.7539520263672,39.986846923828125,1,2014-07
10,2015-11,2015-11,2015-11,150.71588134765625,58.78399658203125,1,2015-11
11,2018-03,2018-03,2018-03,111.96229553222656,47.470924377441406,1,2018-03
12,2020-01,2020-01,2020-01,138.4209442138672,64.14105224609375,1,2020-01
13,2022-03,2022-02,2022-03,318.9549255371094,102.79591369628906,2,"2022-02, 2022-03"
14,2023-10,2023-10,2023-10,197.8870086669922,99.25219726562499,1,2023-10
15,2024-08,2024-08,2024-08,140.97506713867188,48.58019256591797,1,2024-08
16,2025-06,2025-03,2025-06,221.1349029541016,54.297409057617216,2,"2025-03, 2025-06"
17,2026-03,2026-01,2026-03,330.17681884765625,210.31140899658203,2,"2026-01, 2026-03"
