Subindex,Commodity,Horizon,N,Mean,Median,Min,Max
GPRT,Brent,+1M,19,-0.003890361012040702,-0.006993006993006978,-0.196078431372549,0.2583025830258303
GPRT,Brent,+2M,19,-0.04560967671606447,-0.04799999999999993,-0.4811320754716981,0.3321033210332103
GPRT,Brent,+3M,19,-0.07070173083327047,-0.05327413984461704,-0.6336477987421383,0.21771217712177116
GPRT,Natural_Gas,+1M,19,0.0062055481375328765,-0.032418952618453845,-0.18562874251496997,0.3312499999999998
GPRT,Natural_Gas,+2M,19,0.06943921525314287,-0.01848739495798324,-0.24723247232472323,0.6880733944954129
GPRT,Natural_Gas,+3M,19,0.1137128959574827,0.02941176470588225,-0.29151291512915134,0.7719528178243775
GPRT,Gold,+1M,19,-0.0020535235519665352,0.0,-0.05208333333333337,0.049568965517241326
GPRT,Gold,+2M,19,-0.0030042886295340984,-0.0021450021450021284,-0.05644546147978646,0.07547169811320753
GPRT,Gold,+3M,19,0.0033928553347005556,-0.002617801047120394,-0.12932454695222406,0.10849056603773577
GPRT,Copper,+1M,19,0.0028363474091011674,0.0033806626098715764,-0.05687282374398939,0.0713229078613693
GPRT,Copper,+2M,19,-0.0014077653569232419,0.0014025245441795509,-0.1406068645332449,0.08093223720967346
GPRT,Copper,+3M,19,-0.0030258773362879785,0.01514997458057965,-0.16133311225335767,0.152733118971061
GPRT,Wheat,+1M,19,0.0028188301859565926,-0.006535947712418166,-0.14674302075876866,0.31653404067197166
GPRT,Wheat,+2M,19,-0.015618193502659455,-0.020626432391138372,-0.28704366499642087,0.25935750073681096
GPRT,Wheat,+3M,19,-0.02771401909375858,-0.036890645586297954,-0.2834645669291338,0.29207191276156785
GPRA,Brent,+1M,23,0.02098510730205927,0.03837953091684443,-0.196078431372549,0.2583025830258303
GPRA,Brent,+2M,23,-0.00764983307224045,0.024390243902439046,-0.3063063063063063,0.3321033210332103
GPRA,Brent,+3M,23,-0.028362603253192394,-0.005244755244755317,-0.2705882352941176,0.23492723492723488
GPRA,Natural_Gas,+1M,23,0.051753070263388525,0.0588235294117645,-0.18562874251496997,0.3576158940397349
GPRA,Natural_Gas,+2M,23,0.14331574766780103,0.09134615384615374,-0.19760479041916157,0.7828685258964143
GPRA,Natural_Gas,+3M,23,0.15272208455161831,0.0635451505016722,-0.20359281437125742,0.7719528178243775
GPRA,Gold,+1M,23,0.002923587069561437,0.0,-0.05208333333333337,0.04089068825910935
GPRA,Gold,+2M,23,0.011914568411667955,0.011049723756906049,-0.05755395683453235,0.09327794561933533
GPRA,Gold,+3M,23,0.015093017733315492,0.0235294117647058,-0.12932454695222406,0.12651057401812693
GPRA,Copper,+1M,23,-0.003376998982359687,-0.006841950933437646,-0.06638363566190664,0.050913115661317176
GPRA,Copper,+2M,23,-0.006529241097405781,-0.015331010452961702,-0.0913924891990695,0.133916083916084
GPRA,Copper,+3M,23,-0.010627264668990105,-0.027543679342240446,-0.13602126716880814,0.14982517482517488
GPRA,Wheat,+1M,23,-0.00993928817981191,-0.006535947712418166,-0.14674302075876866,0.1003271537622683
GPRA,Wheat,+2M,23,-0.01402939606451438,-0.018580702932617044,-0.28704366499642087,0.15823466092572636
GPRA,Wheat,+3M,23,-0.025579539828255202,-0.03544165757906215,-0.2834645669291338,0.24111948331539268
