Commodity,Model,N,MAE,RMSE,Directional_Accuracy
Brent,Model A: Baseline,197,0.062372734474019656,0.08465866895147299,0.5532994923857868
Brent,Model B: Baseline + DXY,197,0.062389768810025004,0.0846819854010297,0.5532994923857868
Brent,Model C: Baseline + GPR,197,0.06262722026604584,0.08485890108027086,0.5532994923857868
Brent,Model D: Baseline + GPR + GPRT + GPRA,197,0.06261668740214459,0.08465186357467334,0.5380710659898477
Brent,Model E: Full GeoPrice (11 features),197,0.0629790746691852,0.08531552680285004,0.5431472081218274
Brent,Model F: GeoPrice + GPR_z12 + GPR_accel + GPR_gap,197,0.06321303210196076,0.08562631881307883,0.5279187817258884
Natural_Gas,Model A: Baseline,197,0.09336835523522372,0.12223629196441803,0.49746192893401014
Natural_Gas,Model B: Baseline + DXY,197,0.09311769769190537,0.12277680510324929,0.5177664974619289
Natural_Gas,Model C: Baseline + GPR,197,0.09369223976342482,0.12307813376295244,0.4873096446700508
Natural_Gas,Model D: Baseline + GPR + GPRT + GPRA,197,0.09496909706533363,0.12410719272817207,0.47715736040609136
Natural_Gas,Model E: Full GeoPrice (11 features),197,0.09630941856484913,0.12627157722794813,0.5025380710659898
Natural_Gas,Model F: GeoPrice + GPR_z12 + GPR_accel + GPR_gap,197,0.0974281987692517,0.12738592176494784,0.5279187817258884
Gold,Model A: Baseline,198,0.028563192503180533,0.035788200233012615,0.5384615384615384
Gold,Model B: Baseline + DXY,198,0.02855801136729202,0.03580354650681637,0.5384615384615384
Gold,Model C: Baseline + GPR,198,0.028563192503180533,0.035788200233012615,0.5384615384615384
Gold,Model D: Baseline + GPR + GPRT + GPRA,198,0.02856060459052705,0.03578601736233893,0.5384615384615384
Gold,Model E: Full GeoPrice (11 features),198,0.028389633920117428,0.03574141591435679,0.5384615384615384
Gold,Model F: GeoPrice + GPR_z12 + GPR_accel + GPR_gap,198,0.0284978800489525,0.03576406987048029,0.5333333333333333
Copper,Model A: Baseline,197,0.03592259127614791,0.046283071775520976,0.5482233502538071
Copper,Model B: Baseline + DXY,197,0.03628394986254924,0.046694861010438626,0.5482233502538071
Copper,Model C: Baseline + GPR,197,0.03592259127614791,0.046283071775520976,0.5482233502538071
Copper,Model D: Baseline + GPR + GPRT + GPRA,197,0.03593979232758733,0.04629815198647189,0.5482233502538071
Copper,Model E: Full GeoPrice (11 features),197,0.036729948952137784,0.04736678481318931,0.5532994923857868
Copper,Model F: GeoPrice + GPR_z12 + GPR_accel + GPR_gap,197,0.03684779263210434,0.047449788451248344,0.5532994923857868
Wheat,Model A: Baseline,197,0.053023124002276004,0.07025617809084665,0.5583756345177665
Wheat,Model B: Baseline + DXY,197,0.05300112620799533,0.07015676989484035,0.5634517766497462
Wheat,Model C: Baseline + GPR,197,0.0530406136315818,0.07028714813170861,0.5583756345177665
Wheat,Model D: Baseline + GPR + GPRT + GPRA,197,0.05305412349239553,0.07039409469968652,0.5380710659898477
Wheat,Model E: Full GeoPrice (11 features),197,0.05300072039607948,0.0702543490313104,0.5634517766497462
Wheat,Model F: GeoPrice + GPR_z12 + GPR_accel + GPR_gap,197,0.05330412381562891,0.07053570355913584,0.5583756345177665
