Commodity,Model,N,MAE,RMSE,Directional_Accuracy
Brent,Fixed Baseline,197,0.06237327202830993,0.08465910112064644,0.5532994923857868
Brent,Tuned Baseline,197,0.0630313420380761,0.0870139083663631,0.5380710659898477
Brent,Fixed GeoPrice,197,0.06298217295569916,0.08531782435077181,0.5431472081218274
Brent,Tuned GeoPrice,197,0.06287663782062873,0.08699611696376394,0.5380710659898477
Brent,Tuned GeoPrice + GPR_z12,197,0.06300285570465737,0.08706220254534665,0.5380710659898477
Natural_Gas,Fixed Baseline,197,0.09336798870446854,0.12223618807470858,0.49746192893401014
Natural_Gas,Tuned Baseline,197,0.0930106535552654,0.12188184413578504,0.5279187817258884
Natural_Gas,Fixed GeoPrice,197,0.09630880350164815,0.1262707192123398,0.5025380710659898
Natural_Gas,Tuned GeoPrice,197,0.09307140010872973,0.12233674548172073,0.5279187817258884
Natural_Gas,Tuned GeoPrice + GPR_z12,197,0.09307140010872973,0.12233674548172073,0.5279187817258884
Gold,Fixed Baseline,198,0.028557433724096668,0.035783987704465746,0.5384615384615384
Gold,Tuned Baseline,198,0.028614420795688426,0.035917416514743034,0.5384615384615384
Gold,Fixed GeoPrice,198,0.02838335903437914,0.035736924685057285,0.5384615384615384
Gold,Tuned GeoPrice,198,0.02861850799765675,0.03591806002478493,0.5384615384615384
Gold,Tuned GeoPrice + GPR_z12,198,0.02861850799765675,0.03591806002478493,0.5384615384615384
Copper,Fixed Baseline,197,0.03592261042994461,0.0462830543042847,0.5482233502538071
Copper,Tuned Baseline,197,0.035767535633996095,0.0462345942118734,0.5736040609137056
Copper,Fixed GeoPrice,197,0.0367298184346468,0.04736661665002318,0.5532994923857868
Copper,Tuned GeoPrice,197,0.036000519426978794,0.04633028971586944,0.5583756345177665
Copper,Tuned GeoPrice + GPR_z12,197,0.036000519426978794,0.04633028971586944,0.5583756345177665
Wheat,Fixed Baseline,197,0.053023103805283245,0.07025623221713098,0.5583756345177665
Wheat,Tuned Baseline,197,0.05266152534487711,0.07003261315489863,0.5583756345177665
Wheat,Fixed GeoPrice,197,0.05300049428455894,0.07025429247415134,0.5634517766497462
Wheat,Tuned GeoPrice,197,0.053617914576428886,0.07029341508277755,0.49746192893401014
Wheat,Tuned GeoPrice + GPR_z12,197,0.053280310031428045,0.07008309208320795,0.5228426395939086
